q,시그널,타깃,평균수익12M(%),승률(%),표본
Q1(가장낮음),SOX YoY,삼성전자,43.9,78.0,45
Q2,SOX YoY,삼성전자,31.4,75.0,44
Q3,SOX YoY,삼성전자,22.8,70.0,44
Q4,SOX YoY,삼성전자,10.3,52.0,44
Q5(가장높음),SOX YoY,삼성전자,3.6,45.0,44
Q1(가장낮음),SOX YoY,SK하이닉스,75.6,67.0,45
Q2,SOX YoY,SK하이닉스,38.6,77.0,44
Q3,SOX YoY,SK하이닉스,20.1,48.0,44
Q4,SOX YoY,SK하이닉스,25.4,66.0,44
Q5(가장높음),SOX YoY,SK하이닉스,25.1,70.0,44
Q1(가장낮음),마이크론 YoY,삼성전자,36.8,78.0,45
Q2,마이크론 YoY,삼성전자,35.9,84.0,44
Q3,마이크론 YoY,삼성전자,34.2,77.0,44
Q4,마이크론 YoY,삼성전자,4.8,36.0,44
Q5(가장높음),마이크론 YoY,삼성전자,0.4,45.0,44
Q1(가장낮음),마이크론 YoY,SK하이닉스,47.4,67.0,45
Q2,마이크론 YoY,SK하이닉스,47.8,66.0,44
Q3,마이크론 YoY,SK하이닉스,49.6,68.0,44
Q4,마이크론 YoY,SK하이닉스,21.4,57.0,44
Q5(가장높음),마이크론 YoY,SK하이닉스,19.3,70.0,44
Q1(가장낮음),원달러 YoY,삼성전자,8.1,49.0,45
Q2,원달러 YoY,삼성전자,8.2,59.0,44
Q3,원달러 YoY,삼성전자,24.9,64.0,44
Q4,원달러 YoY,삼성전자,27.7,68.0,44
Q5(가장높음),원달러 YoY,삼성전자,43.6,82.0,44
Q1(가장낮음),원달러 YoY,SK하이닉스,16.3,56.0,45
Q2,원달러 YoY,SK하이닉스,13.6,61.0,44
Q3,원달러 YoY,SK하이닉스,44.1,64.0,44
Q4,원달러 YoY,SK하이닉스,41.0,70.0,44
Q5(가장높음),원달러 YoY,SK하이닉스,71.2,77.0,44
Q1(가장낮음),반도체수출 YoY,삼성전자,34.8,93.0,44
Q2,반도체수출 YoY,삼성전자,37.3,75.0,44
Q3,반도체수출 YoY,삼성전자,30.1,68.0,44
Q4,반도체수출 YoY,삼성전자,8.4,39.0,44
Q5(가장높음),반도체수출 YoY,삼성전자,2.1,45.0,44
Q1(가장낮음),반도체수출 YoY,SK하이닉스,63.0,93.0,44
Q2,반도체수출 YoY,SK하이닉스,43.0,70.0,44
Q3,반도체수출 YoY,SK하이닉스,44.4,59.0,44
Q4,반도체수출 YoY,SK하이닉스,18.1,52.0,44
Q5(가장높음),반도체수출 YoY,SK하이닉스,18.4,55.0,44
